best_answer_adversary - far
best_answer_adversary : (0, 0, 1, 2, 2)
best_answer_adversary : (0, 1, 3, 1, 1)
far : (0, 0, 6, 1, 0)
best_answer_adversary : (0, 1, 3, 1, 1)
far : (0, 4, 0, 3, 0)
best_answer_adversary : (0, 1, 3, 1, 1)
far : (1, 0, 0, 6, 0)
best_answer_adversary : (0, 1, 3, 1, 1)
far : (0, 6, 0, 1, 0)
best_answer_adversary : (0, 1, 3, 1, 1)
far : (0, 6, 0, 1, 0)
best_answer_adversary : (0, 1, 3, 1, 1)
far : (7, 0, 0, 0, 0)
best_answer_adversary : (0, 1, 3, 1, 1)
far : (0, 0, 0, 4, 3)
best_answer_adversary : (0, 1, 3, 1, 1)
far : (0, 7, 0, 0, 0)
best_answer_adversary : (0, 1, 3, 1, 1)
far : (0, 1, 0, 0, 6)
best_answer_adversary : (0, 1, 3, 1, 1)
far : (0, 4, 0, 3, 0)
best_answer_adversary : (0, 1, 3, 1, 1)
far : (3, 4, 0, 0, 0)
best_answer_adversary : (0, 1, 3, 1, 1)
far : (0, 0, 2, 5, 0)
best_answer_adversary : (0, 1, 3, 1, 1)
far : (0, 0, 6, 1, 0)
best_answer_adversary : (0, 1, 3, 1, 1)
far : (5, 0, 2, 0, 0)
best_answer_adversary : (1, 1, 1, 3, 0)
far : (0, 7, 0, 0, 0)
best_answer_adversary : (1, 1, 1, 3, 0)
far : (0, 0, 0, 0, 7)
best_answer_adversary : (1, 1, 1, 3, 0)
far : (0, 0, 0, 7, 0)
best_answer_adversary : (1, 1, 1, 3, 0)
far : (7, 0, 0, 0, 0)
best_answer_adversary : (1, 1, 1, 3, 0)
far : (0, 0, 0, 0, 7)
best_answer_adversary : (1, 1, 1, 3, 0)
far : (6, 0, 0, 1, 0)
best_answer_adversary : (1, 1, 1, 3, 0)
far : (0, 0, 0, 4, 3)
best_answer_adversary : (1, 1, 1, 3, 0)
far : (0, 0, 3, 4, 0)
best_answer_adversary : (1, 1, 1, 3, 0)
far : (0, 0, 7, 0, 0)
best_answer_adversary : (1, 1, 1, 3, 0)
far : (7, 0, 0, 0, 0)
best_answer_adversary : (1, 1, 1, 3, 0)
far : (0, 2, 5, 0, 0)
best_answer_adversary : (1, 1, 1, 3, 0)
far : (0, 0, 2, 0, 5)
best_answer_adversary : (1, 1, 1, 3, 0)
far : (0, 6, 0, 0, 1)
best_answer_adversary : (1, 1, 1, 3, 0)
far : (4, 0, 3, 0, 0)
best_answer_adversary : (1, 1, 1, 3, 0)
far : (4, 0, 0, 3, 0)
best_answer_adversary : (1, 1, 1, 3, 0)
far : (3, 4, 0, 0, 0)
best_answer_adversary : (1, 1, 1, 3, 0)
far : (0, 0, 3, 4, 0)
best_answer_adversary : (1, 1, 1, 3, 0)
far : (0, 0, 7, 0, 0)
best_answer_adversary : (1, 1, 1, 3, 0)
far : (3, 4, 0, 0, 0)
best_answer_adversary : (1, 1, 1, 3, 0)
far : (0, 7, 0, 0, 0)
best_answer_adversary : (1, 1, 1, 3, 0)
far : (1, 0, 0, 6, 0)
